train_smiles,test_smiles
[H:8][C:1]([H:9])([H:10])[C:2](=[O:3])[C:4]([H:11])([H:12])[S:5][C:6]([H:13])([H:14])[F:7],[H:8][C:1]([H:9])([H:10])[C:2](=[O:3])[C:4]([H:11])([H:12])[S:5][C:6]([H:13])([H:14])[F:7]
[H:20][C:10](=[O:11])[P:8](=[O:9])([O-:12])[O:7][C:6]([H:18])([H:19])[C:4]1([O:5][C:1]([C:2]([S:3]1)([H:15])[H:16])([H:13])[H:14])[H:17],[H:20][C:10](=[O:11])[P:8](=[O:9])([O-:12])[O:7][C:6]([H:18])([H:19])[C:4]1([O:5][C:1]([C:2]([S:3]1)([H:15])[H:16])([H:13])[H:14])[H:17]
[H:16][C:2](=[C:3]([C:4]([H:17])([H:18])[H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])([C:8]([C:9]([H:25])([H:26])[H:27])([C:10]([H:28])([H:29])[H:30])[O:11][H:31])[O:12][H:32])[C:1]([H:13])([H:14])[H:15],[H:16][C:2](=[C:3]([C:4]([H:17])([H:18])[H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])([C:8]([C:9]([H:25])([H:26])[H:27])([C:10]([H:28])([H:29])[H:30])[O:11][H:31])[O:12][H:32])[C:1]([H:13])([H:14])[H:15]
[H:20][c:4]1[c:5]([c:6]([c:8]([c:10]([c:3]1[B:2]([c:11]2[c:12]([c:13]([c:14]([c:16]([c:18]2[H:31])[Cl:17])[C:15]([H:28])([H:29])[H:30])[H:27])[H:26])[O:1][H:19])[H:25])[Cl:9])[C:7]([H:22])([H:23])[H:24])[H:21],[H:20][c:4]1[c:5]([c:6]([c:8]([c:10]([c:3]1[B:2]([c:11]2[c:12]([c:13]([c:14]([c:16]([c:18]2[H:31])[Cl:17])[C:15]([H:28])([H:29])[H:30])[H:27])[H:26])[O:1][H:19])[H:25])[Cl:9])[C:7]([H:22])([H:23])[H:24])[H:21]
[H:17][C:8](=[O:9])[C:7]([H:15])([H:16])[S:4](=[O:5])(=[O:6])[C:3]1([C:1]([C:2]1([H:12])[H:13])([H:10])[H:11])[H:14],[H:17][C:8](=[O:9])[C:7]([H:15])([H:16])[S:4](=[O:5])(=[O:6])[C:3]1([C:1]([C:2]1([H:12])[H:13])([H:10])[H:11])[H:14]
[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([C:6](=[O:7])[C:8]([H:21])([H:22])[Br:9])[N+:10]([H:23])([H:24])[H:25],[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([C:6](=[O:7])[C:8]([H:21])([H:22])[Br:9])[N+:10]([H:23])([H:24])[H:25]
[H:18][C:9]1([C:10]([O:11][C:12]([C:8]1([H:17])[C:6]2=[N:5][N:4]=[C:3]([S:7]2)[N:2]([H:16])[C:1]([H:13])([H:14])[H:15])([H:22])[H:23])([H:20])[H:21])[H:19],[H:18][C:9]1([C:10]([O:11][C:12]([C:8]1([H:17])[C:6]2=[N:5][N:4]=[C:3]([S:7]2)[N:2]([H:16])[C:1]([H:13])([H:14])[H:15])([H:22])[H:23])([H:20])[H:21])[H:19]
[H:16][C:5]1=[N:4][C:3](=[C:2]([N:6]1[H:17])[C:1]([H:13])([H:14])[H:15])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[N+:9]([H:22])([H:23])[C:10]([H:24])([H:25])[C:11]([H:26])([H:27])[N:12]([H:28])[H:29],[H:16][C:5]1=[N:4][C:3](=[C:2]([N:6]1[H:17])[C:1]([H:13])([H:14])[H:15])[C:7]([H:18])([H:19])[C:8]([H:20])([H:21])[N+:9]([H:22])([H:23])[C:10]([H:24])([H:25])[C:11]([H:26])([H:27])[N:12]([H:28])[H:29]
[O:1]=[C:2]([C@:3]([F:4])([C@@:5]([I:6])([C:7](=[O:8])[H:12])[H:11])[H:10])[H:9],[O:1]=[C:2]([C@@:3]([F:4])([C@@:5]([I:6])([C:7](=[O:8])[H:12])[H:11])[H:10])[H:9]
[H:7][C:1]([H:8])([C:2]([H:9])([C:3]([H:10])([H:11])[Br:4])[O:5][H:12])[O:6][H:13],[H:7][C:1]([H:8])([C:2]([H:9])([C:3]([H:10])([H:11])[Br:4])[O:5][H:12])[O:6][H:13]
[H:21][c:5]1[c:6]([c:7]([c:12]([c:15]([c:4]1[C@@:2]([H:19])([C:1]([H:16])([H:17])[H:18])[O:3][H:20])[H:28])[C:13]([H:25])([H:26])[O:14][H:27])[O:8][B:9]([O:10][H:23])[O:11][H:24])[H:22],[H:21][c:5]1[c:6]([c:7]([c:12]([c:15]([c:4]1[C@@:2]([H:19])([C:1]([H:16])([H:17])[H:18])[O:3][H:20])[H:28])[C:13]([H:25])([H:26])[O:14][H:27])[O:8][B:9]([O:10][H:23])[O:11][H:24])[H:22]
