similarity,test_idx,train_idx,test_smiles,train_smiles
0.9599999785423279,4792,35516,[H:19][C:9](=[O:10])[C:8]1=[N:7][O:6][C:5]2=[C:4]1[C:3]([C:2]([C:1]([C:12]([C:11]2([H:20])[H:21])([H:22])[H:23])([H:13])[H:14])([H:15])[H:16])([H:17])[H:18],[H:18][C:9](=[O:10])[C:6]1=[N:7][O:8][C:4]2=[C:5]1[C:11]([C:1]([C:2]([C:3]2([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:19])[H:20]
0.9583333134651184,125,33396,[H:13][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:21])[H:22])([H:19])[H:20])([C:7]2=[N:8][N:9]([N:10]=[N:11]2)[H:23])[N:12]([H:24])[H:25])([H:17])[H:18])([H:15])[H:16])[H:14],[H:12][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:18])[H:19])([C:6]2=[N:7][N:8]([N:9]=[N:10]2)[H:20])[N:11]([H:21])[H:22])([H:16])[H:17])([H:14])[H:15])[H:13]
0.95652174949646,3940,15584,[H:13][C:1](=[C:2]([H:15])[C:3]1([C:4]([C:5]([C:6]([C:7]([C:8]1([H:24])[H:25])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[C:9]([H:26])([C:10](=[O:11])[H:27])[N+:12]([H:28])([H:29])[H:30])[H:14],[H:12][C:1](=[C:2]([H:14])[C:3]1([C:4]([C:5]([C:6]([C:7]1([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[C:8]([H:23])([C:9](=[O:10])[H:24])[N+:11]([H:25])([H:26])[H:27])[H:13]
0.9545454382896423,6195,22454,[H:22][C:7]1([C:8]([C:9]([C:5]2([C:6]1([H:20])[H:21])[C:10]([N+:11]([C:4]2([H:19])[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[C:3]([H:16])([H:17])[H:18])([H:30])[H:31])([H:28])[H:29])([H:26])[H:27])([H:24])[H:25])[H:23],[H:25][C:8]1([C:7]([C:6]([C:5]2([C:10]([C:9]1([H:27])[H:28])([H:29])[H:30])[C:11]([N+:12]([C:4]2([H:20])[C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])([H:33])[H:34])([H:31])[H:32])([H:21])[H:22])([H:23])[H:24])[H:26]
0.9545454382896423,5843,40848,[H:32][C:11](=[O:12])[C:2]([C:1]([H:13])([H:14])[H:15])([C:3]([H:16])([H:17])[H:18])[C:4]([H:19])([H:20])[N+:5]1([C:6]([C:7]([C:8]([C:9]([C:10]1([H:30])[H:31])([H:28])[H:29])([H:26])[H:27])([H:24])[H:25])([H:22])[H:23])[H:21],[H:29][C:10](=[O:11])[C:2]([C:1]([H:12])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[N+:5]1([C:6]([C:7]([C:8]([C:9]1([H:27])[H:28])([H:25])[H:26])([H:23])[H:24])([H:21])[H:22])[H:20]
0.9523809552192688,1750,2435,[H:12][C:1]1([C:2]([C:3]([C:4]2([C:5]([C:6]1([H:20])[H:21])([H:18])[H:19])[C:7]([O:8][C:9]([C:10]([N:11]2[H:28])([H:26])[H:27])([H:24])[H:25])([H:22])[H:23])([H:16])[H:17])([H:14])[H:15])[H:13],[H:11][C:1]1([C:2]([C:3]([C:4]2([C:5]1([H:17])[H:18])[C:6]([O:7][C:8]([C:9]([N:10]2[H:25])([H:23])[H:24])([H:21])[H:22])([H:19])[H:20])([H:15])[H:16])([H:13])[H:14])[H:12]
0.9523809552192688,3386,33692,[H:12][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]([C:7]1([H:22])[H:23])([H:20])[H:21])([H:19])[N:8]([H:24])[H:25])([H:18])[C:9](=[O:10])[O-:11])([H:16])[H:17])([H:14])[H:15])[H:13],[H:11][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:19])[H:20])([H:18])[C:7](=[O:8])[O-:9])([H:17])[N:10]([H:21])[H:22])([H:15])[H:16])([H:13])[H:14])[H:12]
0.949999988079071,3637,6443,[H:13][C:1]1([C:2]([C:3]([C:4]2([C:7](=[O:8])[N:9]([C:10](=[O:11])[N:12]2[H:24])[H:23])[C:5]([C:6]1([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14],[H:12][C:1]1([C:2]([C:3]([C:4]2([C:5]1([H:18])[H:19])[C:6](=[O:7])[N:8]([C:9](=[O:10])[N:11]2[H:21])[H:20])([H:16])[H:17])([H:14])[H:15])[H:13]
0.949999988079071,1703,4517,[H:20][C:7](=[C:6]([C:9](=[O:10])[H:22])[C:4]1([C:5]([C:1]([C:2]([C:3]1([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:18])[H:19])[H:17])[O:8][H:21],[H:23][C:8](=[C:7]([C:10](=[O:11])[H:25])[C:4]1([C:3]([C:2]([C:1]([C:6]([C:5]1([H:19])[H:20])([H:21])[H:22])([H:12])[H:13])([H:14])[H:15])([H:16])[H:17])[H:18])[O:9][H:24]
0.9473684430122375,5116,4951,[H:10][C:1]1([C:2]([C:3]([C:4]([C:5]([N:6]([C:7]([C:8]1([H:22])[H:23])([H:20])[H:21])[H:19])([H:17])[H:18])([H:16])[N:9]([H:24])[H:25])([H:14])[H:15])([H:12])[H:13])[H:11],[H:9][C:1]1([C:2]([C:3]([N:4]([C:5]([C:6]([C:7]1([H:19])[H:20])([H:18])[N:8]([H:21])[H:22])([H:16])[H:17])[H:15])([H:13])[H:14])([H:11])[H:12])[H:10]
0.9473684430122375,4514,5682,[H:13][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:22])[H:23])([H:20])[H:21])([H:19])[C:7]2([C:8]([C:9]([N+:10]([C:11]([C:12]2([H:33])[H:34])([H:31])[H:32])([H:29])[H:30])([H:27])[H:28])([H:25])[H:26])[H:24])([H:17])[H:18])([H:15])[H:16])[H:14],[H:12][C:1]1([C:2]([C:3]([N+:4]([C:5]1([H:19])[H:20])([H:18])[C:6]2([C:7]([C:8]([N+:9]([C:10]([C:11]2([H:30])[H:31])([H:28])[H:29])([H:26])[H:27])([H:24])[H:25])([H:22])[H:23])[H:21])([H:16])[H:17])([H:14])[H:15])[H:13]
0.9444444179534912,1852,19671,[H:12][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]([C:7]1([H:22])[H:23])([H:20])[H:21])([C:8](=[O:9])[O-:10])[N:11]([H:24])[H:25])([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])[H:13],[H:10][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:16])[H:17])([C:6](=[O:7])[O-:8])[N:9]([H:18])[H:19])([H:14])[H:15])([H:12])[H:13])[H:11]
0.9411764740943909,325,3779,[H:19][C:7](=[N+:8]([H:20])[H:21])[N:6]([H:18])[C:4]1([C:5]([C:1]([C:2]([C:3]1([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:16])[H:17])[H:15],[H:22][C:8](=[N+:9]([H:23])[H:24])[N:7]([H:21])[C:4]1([C:3]([C:2]([C:1]([C:6]([C:5]1([H:17])[H:18])([H:19])[H:20])([H:10])[H:11])([H:12])[H:13])([H:14])[H:15])[H:16]
0.9375,923,22944,[H:16][C:4]1([C:5]([C:6]([C:7]([C:8]([C:3]1([H:15])[O:2][C:1]([H:12])([H:13])[H:14])([H:22])[H:23])([H:21])[O:9][C:10]([H:24])([H:25])[H:26])([H:19])[H:20])([H:18])[O:11][H:27])[H:17],[H:12][C:4]1([C:5]([C:6]([C:3]1([H:11])[O:2][C:1]([H:8])([H:9])[H:10])([H:15])[H:16])([H:14])[O:7][H:17])[H:13]
0.9375,1912,28076,[H:10][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:17])[H:18])([H:16])[P:6](=[O:7])([O-:8])[O-:9])([H:14])[H:15])([H:12])[H:13])[H:11],[H:11][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:20])[H:21])([H:18])[H:19])([H:17])[P:7](=[O:8])([O-:9])[O-:10])([H:15])[H:16])([H:13])[H:14])[H:12]
0.9333333373069763,1930,10817,[H:8][C:1]1([C:2]([C:3]([N:4]([O:5][C:6]([C:7]1([H:17])[H:18])([H:15])[H:16])[H:14])([H:12])[H:13])([H:10])[H:11])[H:9],[H:7][C:1]1([C:2]([C:3]([O:4][N:5]([C:6]1([H:14])[H:15])[H:13])([H:11])[H:12])([H:9])[H:10])[H:8]
0.9333333373069763,4879,39482,[H:17][C:5]1([C:4]([C:3]([C:2]([C:7]([C:6]1([H:19])[H:20])([H:21])[H:22])([C:1]([H:10])([H:11])[H:12])[N:8]([H:23])[C:9]([H:24])([H:25])[H:26])([H:13])[H:14])([H:15])[H:16])[H:18],[H:14][C:4]1([C:5]([C:6]([C:2]([C:3]1([H:12])[H:13])([C:1]([H:9])([H:10])[H:11])[N:7]([H:20])[C:8]([H:21])([H:22])[H:23])([H:18])[H:19])([H:16])[H:17])[H:15]
0.9285714030265808,445,4504,[H:13][C:3]1([C:4](=[N+:5]([H:15])[O:6][H:16])[C:7]([C:8]([C:1]([C:2]1([H:11])[H:12])([H:9])[H:10])([H:19])[H:20])([H:17])[H:18])[H:14],[H:12][C:3]1([C:4](=[N+:5]([H:14])[O:6][H:15])[C:7]([C:1]([C:2]1([H:10])[H:11])([H:8])[H:9])([H:16])[H:17])[H:13]
0.9285714030265808,737,19490,[H:21][C:9]1=[N:8][C:7](=[N:11][O:10]1)[C:3]2([C:4]([C:5]([C:6]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[O:2][C:1]([H:12])([H:13])[H:14],[H:24][C:10]1=[N:9][C:8](=[N:12][O:11]1)[C:3]2([C:4]([C:5]([C:6]([C:7]2([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[O:2][C:1]([H:13])([H:14])[H:15]
0.9285714030265808,3513,23709,[H:8][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:15])[H:16])([H:14])[N:6]=[O:7])([H:12])[H:13])([H:10])[H:11])[H:9],[H:9][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:18])[H:19])([H:16])[H:17])([H:15])[N:7]=[O:8])([H:13])[H:14])([H:11])[H:12])[H:10]
0.9259259104728699,5349,13125,[H:21][C:10](=[O:11])[C:3]1=[C:4]2[C:5](=[N:6][N:2]1[C:1]([H:12])([H:13])[H:14])[C:7]([C:8]([C:9]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16],[H:24][C:11](=[O:12])[C:3]1=[C:4]2[C:5](=[N:6][N:2]1[C:1]([H:13])([H:14])[H:15])[C:7]([C:8]([C:9]([C:10]2([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17]
0.9200000166893005,2836,25869,[H:11][C:1]1=[C:2]([N+:3](=[O:4])[C:5]2=[C:6]([N:7]1[H:13])[C:8]([C:9]([C:10]2([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])[H:12],[H:12][C:1]1=[C:2]([N+:3](=[O:4])[C:5]2=[C:6]([N:7]1[H:14])[C:8]([C:9]([C:10]([C:11]2([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:13]
0.9200000166893005,6066,5452,[H:27][C:10](=[O:11])[C:4]1([C:5]([C:6]([N+:7]([C:8]2([C:3]1([C:2]([C:1]([C:9]2([H:25])[H:26])([H:12])[H:13])([H:14])[H:15])[H:16])[H:24])([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])[H:17],[H:30][C:11](=[O:12])[C:7]1([C:8]([C:9]([N+:10]([C:4]2([C:5]1([C:6]([C:1]([C:2]([C:3]2([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:21])[H:22])[H:20])[H:19])([H:28])[H:29])([H:26])[H:27])([H:24])[H:25])[H:23]
0.9200000166893005,1007,17653,[H:14][C:3]1=[C:2]([N:6]=[C:5]([S:4]1)[C:7]2([C:8]([C:9]([C:10]2([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[H:15])[C:1]([H:11])([H:12])[H:13],[H:15][C:3]1=[C:2]([N:6]=[C:5]([S:4]1)[C:7]2([C:8]([C:9]([C:10]([C:11]2([H:23])[H:24])([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])[H:16])[C:1]([H:12])([H:13])[H:14]
0.9200000166893005,1037,37203,[H:12][C:1]1=[C:5]([N:4]([C:3]2=[C:2]1[C:11]([C:10]([C:9]([C:8]2([H:15])[H:16])([H:17])[H:18])([H:19])[H:20])([H:21])[H:22])[H:13])[C:6](=[O:7])[H:14],[H:11][C:1]1=[C:5]([N:4]([C:3]2=[C:2]1[C:10]([C:9]([C:8]2([H:14])[H:15])([H:16])[H:17])([H:18])[H:19])[H:12])[C:6](=[O:7])[H:13]
0.9200000166893005,4921,23994,[H:12][C:1]1([C:2]([C:3]2([C:4]1([H:16])[H:17])[C:5]([C:6]3([C:7]2([O:8][C:9]([C:10]3([H:23])[H:24])([H:21])[H:22])[H:20])[H:19])([H:18])[N:11]([H:25])[H:26])([H:14])[H:15])[H:13],[H:13][C:1]1([C:2]([C:3]([C:4]2([C:5]1([H:19])[H:20])[C:6]([C:7]3([C:8]2([O:9][C:10]([C:11]3([H:26])[H:27])([H:24])[H:25])[H:23])[H:22])([H:21])[N:12]([H:28])[H:29])([H:17])[H:18])([H:15])[H:16])[H:14]
0.9166666865348816,5008,44,[H:12][C:1]1=[C:5]([O:4][C:3]2=[C:2]1[C:11]([C:10]([C:9]2([H:18])[H:19])([H:20])[H:21])([H:22])[H:23])[C:6]3([C:7]([C:8]3([H:16])[H:17])([H:14])[H:15])[H:13],[H:13][C:1]1=[C:5]([O:4][C:3]2=[C:2]1[C:12]([C:11]([C:10]([C:9]2([H:19])[H:20])([H:21])[H:22])([H:23])[H:24])([H:25])[H:26])[C:6]3([C:7]([C:8]3([H:17])[H:18])([H:15])[H:16])[H:14]
0.9130434989929199,2537,39162,[H:22][C:7]1([C:6]([C:5]([C:8]1([H:24])[H:25])([C:9]([H:26])([H:27])[O:10][H:28])[C:4]([H:19])([C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[C:3]([H:16])([H:17])[H:18])[N:11]([H:29])[H:30])([H:20])[H:21])[H:23],[H:23][C:7]1([C:8]([C:9]([C:5]([C:6]1([H:21])[H:22])([C:10]([H:29])([H:30])[O:11][H:31])[C:4]([H:20])([C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])[N:12]([H:32])[H:33])([H:27])[H:28])([H:25])[H:26])[H:24]
0.9130434989929199,4814,28639,[H:11][c:1]1[n:2][c:3]2[c:4]([c:5]([n:6]1)[Cl:7])[C:8]([C:9]([C:10]2([H:16])[H:17])([H:14])[H:15])([H:12])[H:13],[H:12][c:1]1[n:2][c:3]2[c:4]([c:5]([n:6]1)[Cl:7])[C:8]([C:9]([C:10]([C:11]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14]
0.9090909361839294,3899,9376,[H:18][C:6]1([C:7]([C:8]([C:4]([C:5]1([H:16])[H:17])([H:15])[S:3][C:2]([H:13])([H:14])[C:1]([H:10])([H:11])[H:12])([H:22])[N:9]([H:23])[H:24])([H:20])[H:21])[H:19],[H:21][C:7]1([C:6]([C:5]([C:4]([C:9]([C:8]1([H:23])[H:24])([H:25])[N:10]([H:26])[H:27])([H:16])[S:3][C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])([H:17])[H:18])([H:19])[H:20])[H:22]
0.9090909361839294,5694,38653,[H:16][C:5]1([C:4]([C:3]([N+:2]([C:7]([C:6]1([H:18])[H:19])([H:20])[H:21])([C:1]([H:9])([H:10])[H:11])[C:8]([H:22])([H:23])[H:24])([H:12])[H:13])([H:14])[H:15])[H:17],[H:13][C:4]1([C:5]([C:6]([N+:2]([C:3]1([H:11])[H:12])([C:1]([H:8])([H:9])[H:10])[C:7]([H:19])([H:20])[H:21])([H:17])[H:18])([H:15])[H:16])[H:14]
0.9090909361839294,1833,31807,[H:7][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:14])[H:15])([H:13])[F:6])([H:11])[H:12])([H:9])[H:10])[H:8],[H:8][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:17])[H:18])([H:15])[H:16])([H:14])[F:7])([H:12])[H:13])([H:10])[H:11])[H:9]
0.9090909361839294,3257,38502,[H:12][C:2]1([C:3]2=[C:7]([O:6][N:5]=[C:4]2[C:9]([C:1]1([H:10])[H:11])([H:16])[H:17])[N:8]([H:14])[H:15])[H:13],[H:19][C:10]1([C:5]2=[C:6]([O:7][N:8]=[C:4]2[C:3]([C:2]([C:1]1([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[N:9]([H:17])[H:18])[H:20]
0.9090909361839294,449,25276,[H:19][C:6]1([C:5]([C:4]([C:8]([C:7]1([H:21])[H:22])([H:23])[O:9][H:24])([H:16])[C:3]([H:14])([H:15])[N:2]([H:13])[C:1]([H:10])([H:11])[H:12])([H:17])[H:18])[H:20],[H:20][C:6]1([C:7]([C:8]([C:9]([C:4]([C:5]1([H:18])[H:19])([H:17])[C:3]([H:15])([H:16])[N:2]([H:14])[C:1]([H:11])([H:12])[H:13])([H:26])[O:10][H:27])([H:24])[H:25])([H:22])[H:23])[H:21]
0.9090909361839294,5610,7782,[H:8][C:1]1([C:2]([C:3]([C:4]([C:5]([C:6]1([H:17])[H:18])([H:15])[H:16])([H:14])[S:7][H:19])([H:12])[H:13])([H:10])[H:11])[H:9],[H:7][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:14])[H:15])([H:13])[S:6][H:16])([H:11])[H:12])([H:9])[H:10])[H:8]
